Role,City,Experience,Company_Size,Job_Type,ReactJS,NodeJS,Python,SQL,MongoDB,Git,PWA,Socket_io,Scikit_learn,TensorFlow,LLM,LangChain,Pandas,Agile,JIRA,BA,Project_Mgmt,IT_Support,Documentation,Risk_Mgmt,Stakeholder_Mgmt,Figma,User_Research,Wireframing,Prototyping,Adobe_XD,Design_Systems,Usability_Testing,Interaction_Design,Salary
FullStack,Karachi,6Months,Medium,Onsite,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,154000
AIEngineer,Peshawar,1Year,Small,Onsite,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109000
ITManagement,Lahore,6Months,Small,Onsite,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,67000
AIEngineer,Islamabad,MoreThan1.5Years,Medium,Remote,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,283000
ITManagement,Rawalpindi,1Year,Medium,Remote,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,133000
ITManagement,Lahore,1Year,Large,Onsite,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,173000
FullStack,Faisalabad,Fresh,Large,Remote,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
FullStack,Lahore,MoreThan1.5Years,Medium,Onsite,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,224000
FullStack,Karachi,MoreThan1.5Years,Small,Onsite,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,155000
UIUXDesign,Islamabad,6Months,Small,Onsite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,77000
AIEngineer,Karachi,6Months,Medium,Remote,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170000
ITManagement,Islamabad,MoreThan1.5Years,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,168000
FullStack,Faisalabad,1Year,Small,Onsite,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,88000
AIEngineer,Islamabad,Fresh,Small,Onsite,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67000
ITManagement,Lahore,Fresh,Medium,Onsite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,75000
AIEngineer,Karachi,6Months,Large,Onsite,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233000
AIEngineer,Lahore,MoreThan1.5Years,Medium,Remote,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,278000
AIEngineer,Peshawar,MoreThan1.5Years,Medium,Onsite,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,178000
ITManagement,Lahore,MoreThan1.5Years,Large,Remote,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,229000
ITManagement,Karachi,MoreThan1.5Years,Medium,Onsite,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,184000
FullStack,Rawalpindi,Fresh,Small,Remote,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63000
FullStack,Lahore,1Year,Large,Remote,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,214000
FullStack,Lahore,MoreThan1.5Years,Small,Onsite,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,141000
FullStack,Islamabad,1Year,Large,Onsite,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,236000
AIEngineer,Karachi,6Months,Large,Remote,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,263000
FullStack,Lahore,Fresh,Large,Remote,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,138000
ITManagement,Lahore,MoreThan1.5Years,Medium,Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,156000
ITManagement,Lahore,1Year,Medium,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,134000
ITManagement,Karachi,Fresh,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,76000
ITManagement,Karachi,Fresh,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83000
FullStack,Faisalabad,Fresh,Small,Remote,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000
AIEngineer,Peshawar,Fresh,Large,Remote,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121000
FullStack,Faisalabad,1Year,Medium,Onsite,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,147000
FullStack,Lahore,1Year,Large,Onsite,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,239000
ITManagement,Rawalpindi,Fresh,Small,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,48000
FullStack,Rawalpindi,MoreThan1.5Years,Large,Onsite,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,308000
FullStack,Islamabad,6Months,Large,Remote,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,187000
AIEngineer,Karachi,6Months,Small,Onsite,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,133000
UIUXDesign,Faisalabad,MoreThan1.5Years,Medium,Remote,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,160000
AIEngineer,Faisalabad,Fresh,Small,Onsite,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62000
FullStack,Peshawar,MoreThan1.5Years,Small,Onsite,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,100000
UIUXDesign,Karachi,Fresh,Small,Onsite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,62000
FullStack,Rawalpindi,6Months,Small,Onsite,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82000
ITManagement,Rawalpindi,1Year,Small,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,88000
AIEngineer,Rawalpindi,1Year,Large,Onsite,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,288000
AIEngineer,Faisalabad,6Months,Medium,Remote,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,132000
FullStack,Lahore,1Year,Large,Onsite,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,249000
AIEngineer,Rawalpindi,Fresh,Small,Remote,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
UIUXDesign,Rawalpindi,1Year,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,142000
ITManagement,Peshawar,1Year,Large,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,151000
ITManagement,Karachi,6Months,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,149000
FullStack,Peshawar,Fresh,Large,Remote,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000
ITManagement,Lahore,6Months,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,103000
AIEngineer,Faisalabad,MoreThan1.5Years,Medium,Onsite,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223000
UIUXDesign,Islamabad,1Year,Large,Remote,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,218000
ITManagement,Lahore,6Months,Large,Onsite,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,151000
AIEngineer,Islamabad,1Year,Small,Remote,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,150000
FullStack,Lahore,Fresh,Small,Remote,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
FullStack,Faisalabad,6Months,Medium,Remote,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,105000
ITManagement,Lahore,Fresh,Small,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41000
FullStack,Islamabad,MoreThan1.5Years,Medium,Onsite,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,253000
UIUXDesign,Rawalpindi,1Year,Large,Remote,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,225000
FullStack,Peshawar,6Months,Small,Onsite,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,63000
UIUXDesign,Faisalabad,Fresh,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,69000
UIUXDesign,Rawalpindi,MoreThan1.5Years,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,260000
AIEngineer,Rawalpindi,6Months,Large,Onsite,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,222000
AIEngineer,Lahore,6Months,Medium,Onsite,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,148000
AIEngineer,Rawalpindi,6Months,Small,Remote,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,133000
AIEngineer,Peshawar,Fresh,Small,Onsite,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
ITManagement,Karachi,1Year,Medium,Onsite,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,146000
UIUXDesign,Karachi,1Year,Medium,Onsite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,177000
FullStack,Peshawar,6Months,Medium,Onsite,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111000
AIEngineer,Karachi,6Months,Medium,Onsite,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170000
UIUXDesign,Karachi,Fresh,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,117000
AIEngineer,Peshawar,6Months,Small,Onsite,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,102000
FullStack,Islamabad,Fresh,Small,Onsite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000
FullStack,Islamabad,Fresh,Large,Onsite,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145000
UIUXDesign,Karachi,Fresh,Large,Onsite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,134000
FullStack,Karachi,1Year,Medium,Onsite,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,183000
ITManagement,Islamabad,1Year,Medium,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,130000
AIEngineer,Lahore,MoreThan1.5Years,Large,Remote,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,388000
AIEngineer,Islamabad,1Year,Large,Onsite,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,298000
AIEngineer,Islamabad,1Year,Large,Remote,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318000
ITManagement,Islamabad,Fresh,Large,Remote,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,124000
AIEngineer,Faisalabad,Fresh,Large,Onsite,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,142000
ITManagement,Karachi,MoreThan1.5Years,Medium,Onsite,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,180000
FullStack,Rawalpindi,Fresh,Large,Onsite,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,130000
UIUXDesign,Lahore,MoreThan1.5Years,Medium,Remote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,182000
UIUXDesign,Karachi,6Months,Medium,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,122000
FullStack,Lahore,6Months,Medium,Remote,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000
AIEngineer,Peshawar,1Year,Large,Remote,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,237000
ITManagement,Islamabad,Fresh,Small,Onsite,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51000
FullStack,Rawalpindi,MoreThan1.5Years,Large,Onsite,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,315000
AIEngineer,Islamabad,MoreThan1.5Years,Small,Remote,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,202000
UIUXDesign,Faisalabad,Fresh,Medium,Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,78000
UIUXDesign,Lahore,6Months,Medium,Onsite,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,124000
ITManagement,Rawalpindi,6Months,Large,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,139000
ITManagement,Faisalabad,6Months,Small,Onsite,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,59000
AIEngineer,Rawalpindi,6Months,Medium,Onsite,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,151000
AIEngineer,Faisalabad,6Months,Medium,Onsite,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
UIUXDesign,Peshawar,6Months,Small,Remote,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,61000
ITManagement,Rawalpindi,6Months,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,136000
UIUXDesign,Faisalabad,MoreThan1.5Years,Large,Onsite,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,234000
UIUXDesign,Faisalabad,MoreThan1.5Years,Small,Remote,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,112000
ITManagement,Rawalpindi,6Months,Medium,Remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,98000
UIUXDesign,Lahore,6Months,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,129000
UIUXDesign,Karachi,MoreThan1.5Years,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,291000
ITManagement,Lahore,6Months,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,134000
ITManagement,Peshawar,1Year,Medium,Onsite,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,103000
AIEngineer,Peshawar,Fresh,Medium,Onsite,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,104000
ITManagement,Karachi,MoreThan1.5Years,Large,Onsite,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,262000
UIUXDesign,Faisalabad,1Year,Large,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,183000
FullStack,Faisalabad,1Year,Medium,Onsite,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125000
AIEngineer,Karachi,Fresh,Small,Remote,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80000
